,Genero,Casado,Edad,Graduado,Profesion,Experiencia laboral,Gastoscore,Family_Size,anno_nacimiento,Generacion,Ingresos anuales brutos,Provincia,Digital_encuesta,Gasto_medio_mensual_cuota,Abandono,Dias_cliente,Campanna_anno,Cluster
19,F,Si,87,Si,Artista,+20annos,Alto,1,1937,Generacion Silenciosa,114299,Leon,"0,759",50,0,156,0,3
20,M,Si,54,Si,Construccion,+20annos,Bajo,1,1970,Generacion X,123974,Ceuta,"0,622",50,0,51,0,3
21,F,No,20,No,Funcionario,<10annos,Bajo,4,2004,Generacion Z,21211,Toledo,"2,651",30,0,216,0,0
22,M,Si,36,Si,Artista,10-20annos,Bajo,2,1988,Millennials,24060,Las Palmas,"0,916",30,0,355,"0,5",0
23,F,No,40,Si,Artista,10-20annos,Bajo,2,1984,Millennials,32294,Albacete,"1,077",30,1,135,0,0
25,M,Si,62,No,Artista,+20annos,Medio,3,1962,Generacion X,126060,Ciudad Real,"1,737",200,1,295,0,3
26,M,No,34,No,Funcionario,10-20annos,Bajo,8,1990,Millennials,18106,Huelva,"1,974",30,0,490,3,0
27,M,Si,54,Si,Artista,+20annos,Medio,3,1970,Generacion X,32830,Avila,"0,72",30,0,190,0,0
28,M,No,39,Si,Artista,10-20annos,Bajo,1,1985,Millennials,29902,Guadalajara,"1,008",30,0,38,0,0
29,F,No,39,No,Artista,10-20annos,Bajo,4,1985,Millennials,28830,Granada,"1,146",30,1,373,3,0
30,F,Si,50,Si,Artista,+20annos,Bajo,3,1974,Generacion X,109666,La Rioja,"1,17",80,0,416,3,3
31,F,Si,46,No,Medico,+20annos,Bajo,2,1978,Generacion X,58123,Alicante,"0,72",30,0,421,3,4
32,M,No,21,No,Funcionario,<10annos,Bajo,3,2003,Generacion Z,16852,LLeida,"1,512",30,1,168,0,0
33,M,No,29,No,Construccion,<10annos,Bajo,1,1995,Millennials,28710,Alava,"2,823",30,0,219,0,0
34,F,Si,91,No,Servicios,+20annos,Alto,2,1933,Generacion Silenciosa,82612,Leon,"1,091",120,0,337,"0,5",2
35,F,No,30,Si,Funcionario,<10annos,Bajo,4,1994,Millennials,21099,Badajoz,"1,261",30,0,152,0,0
36,M,No,35,No,Medico,10-20annos,Bajo,1,1989,Millennials,21460,Zaragoza,"1,537",30,0,240,0,0
37,F,Si,31,No,Funcionario,<10annos,Medio,5,1993,Millennials,23394,Alicante,"1,054",30,0,325,"0,5",0
38,F,Si,31,Si,Artista,<10annos,Bajo,2,1993,Millennials,22565,Sevilla,"0,87",30,0,520,4,0
39,M,Si,62,Si,Artista,+20annos,Medio,2,1962,Generacion X,49475,Burgos,"1,6",50,0,493,3,4
40,F,No,52,Si,Artista,+20annos,Bajo,1,1972,Generacion X,63940,Salamanca,"0,798",50,0,33,0,2
41,F,No,24,No,Funcionario,<10annos,Bajo,2,2000,Generacion Z,17510,Teruel,"2,996",30,1,337,"0,5",0
42,F,No,30,Si,Artista,<10annos,Bajo,3,1994,Millennials,22608,Gerona,"1,261",30,0,40,0,0
43,F,Si,54,Si,Artista,+20annos,Bajo,2,1970,Generacion X,53294,Toledo,"0,896",50,1,389,3,4
44,M,Si,44,No,Ingeniero,+20annos,Bajo,1,1980,Generacion X,25196,Caceres,"1,629",30,1,265,0,0
45,F,Si,87,No,Servicios,+20annos,Alto,2,1937,Generacion Silenciosa,48021,Zaragoza,"1,385",30,0,223,0,4
46,M,Si,45,Si,Artista,+20annos,Medio,4,1979,Generacion X,64917,Guadalajara,"1,698",30,1,187,0,2
47,F,No,32,Si,Funcionario,10-20annos,Bajo,1,1992,Millennials,22818,Toledo,"0,801",30,1,305,"0,5",0
48,M,No,21,No,Funcionario,<10annos,Bajo,4,2003,Generacion Z,19656,Albacete,"2,306",30,0,249,0,0
49,F,No,50,Si,Ingeniero,+20annos,Bajo,1,1974,Generacion X,26612,La Rioja,"1,17",30,0,395,3,0
50,F,Si,67,No,Artista,+20annos,Medio,2,1957,Generacion X,107377,Alicante,"1,561",120,1,152,0,3
51,F,Si,40,Si,Artista,10-20annos,Medio,2,1984,Millennials,83364,Avila,"1,56",50,0,337,"0,5",2
52,M,Si,44,Si,Artista,+20annos,Bajo,1,1980,Generacion X,59461,Avila,"1,79",50,1,330,"0,5",4
53,F,Si,63,Si,Otros,+20annos,Medio,2,1961,Generacion X,90571,La Coruña,"0,974",50,0,128,0,1
54,M,Si,84,No,Negocios/empresa,+20annos,Bajo,1,1940,Generacion Silenciosa,87489,Toledo,"1,385",120,0,550,4,1
55,M,Si,35,Si,Artista,10-20annos,Medio,2,1989,Millennials,19307,Zamora,"1,514",30,0,462,3,0
56,M,No,28,Si,Funcionario,<10annos,Bajo,4,1996,Millennials,27496,Huelva,"2,237",30,0,401,3,0
58,F,Si,50,Si,Artista,+20annos,Medio,3,1974,Generacion X,73150,Segovia,"0,74",80,0,523,4,2
59,M,Si,79,Si,Servicios,+20annos,Bajo,1,1945,Generacion Silenciosa,77468,Segovia,"1,58",50,0,579,1,2
60,M,Si,53,Si,Artista,+20annos,Medio,2,1971,Generacion X,22901,Burgos,"0,72",30,0,65,0,0
61,M,Si,61,Si,Artista,+20annos,Medio,2,1963,Generacion X,56381,Burgos,"0,583",50,0,296,0,4
62,M,Si,81,Si,Servicios,+20annos,Alto,3,1943,Generacion Silenciosa,31295,Pontevedra,"0,818",30,1,170,0,0
63,M,Si,62,Si,Servicios,+20annos,Alto,2,1962,Generacion X,102447,Guadalajara,"1,404",50,0,571,1,1
64,M,Si,65,Si,Servicios,+20annos,Alto,2,1959,Generacion X,76260,Badajoz,"1,502",50,0,215,0,2
65,M,No,28,Si,Otros,<10annos,Bajo,2,1996,Millennials,25833,Vizcaya,"2,168",30,0,372,3,0
66,M,Si,34,Si,Medico,10-20annos,Medio,2,1990,Millennials,26168,Sevilla,"0,939",30,0,594,4,0
67,M,No,30,No,Artista,<10annos,Bajo,4,1994,Millennials,27182,Guadalajara,"1,583",30,0,186,0,0
68,M,Si,63,Si,Artista,+20annos,Medio,4,1961,Generacion X,42360,Huelva,"1,033",30,0,35,0,4
69,F,Si,43,Si,Construccion,+20annos,Alto,2,1981,Millennials,86946,Salamanca,"0,824",50,0,198,0,1
70,M,Si,30,Si,Funcionario,<10annos,Bajo,2,1994,Millennials,21017,Alicante,"1,813",30,0,451,3,0
71,F,Si,56,Si,Otros,+20annos,Medio,2,1968,Generacion X,125882,Leon,"0,661",50,1,327,"0,5",3
72,F,Si,52,No,Artista,+20annos,Medio,5,1972,Generacion X,47137,Burgos,"0,837",30,0,372,3,4
73,F,No,36,No,Funcionario,10-20annos,Bajo,4,1988,Millennials,22495,Ciudad Real,"2,02",30,0,215,0,0
74,M,Si,62,Si,Artista,+20annos,Medio,4,1962,Generacion X,59420,Teruel,"1,326",80,0,223,0,4
75,F,No,36,No,Construccion,10-20annos,Bajo,3,1988,Millennials,24846,LLeida,"0,732",30,0,145,0,0
76,F,No,40,Si,Medico,10-20annos,Bajo,2,1984,Millennials,103438,Soria,"1,721",50,1,249,0,1
77,M,Si,56,No,Artista,+20annos,Bajo,3,1968,Generacion X,28702,Granada,"1,17",30,1,391,3,0
78,M,Si,50,Si,Ingeniero,+20annos,Medio,2,1974,Generacion X,72025,Alicante,"0,622",50,0,47,0,2
79,F,No,54,Si,Servicios,+20annos,Bajo,1,1970,Generacion X,40072,Cadiz,"1,248",50,0,311,"0,5",4
80,M,No,33,No,Funcionario,10-20annos,Bajo,4,1991,Millennials,19080,Ceuta,"1,813",30,0,340,"0,5",0
81,F,No,29,No,Funcionario,<10annos,Bajo,3,1995,Millennials,23048,Badajoz,"2,72",30,1,220,0,0
82,M,Si,69,Si,Artista,+20annos,Bajo,1,1955,Generacion X,47386,La Coruña,"0,72",50,0,549,4,4
83,M,Si,39,No,Otros,10-20annos,Medio,4,1985,Millennials,23456,Caceres,"1,261",30,0,512,4,0
84,F,No,21,No,Negocios/empresa,<10annos,Bajo,3,2003,Generacion Z,14401,La Coruña,"1,754",30,0,144,0,0
85,M,No,35,No,Funcionario,10-20annos,Bajo,5,1989,Millennials,30889,Barcelona,"1,905",30,0,314,"0,5",0
86,M,Si,57,Si,Artista,+20annos,Medio,3,1967,Generacion X,38323,Caceres,"0,857",30,0,245,0,4
87,F,Si,40,Si,Artista,10-20annos,Bajo,2,1984,Millennials,25955,Cuenca,"2,066",30,0,252,0,0
88,F,No,46,No,Otros,+20annos,Bajo,3,1978,Generacion X,24287,Ciudad Real,"0,818",30,0,438,3,0
89,M,Si,44,No,Medico,+20annos,Medio,2,1980,Generacion X,110264,LLeida,"1,905",120,1,316,"0,5",3
90,M,No,43,Si,Otros,+20annos,Bajo,3,1981,Millennials,40139,Guadalajara,"1,882",30,0,293,0,4
91,F,Si,52,Si,Artista,+20annos,Medio,4,1972,Generacion X,108973,Palencia,"1,17",80,0,109,0,3
92,F,Si,67,Si,Artista,+20annos,Alto,2,1957,Generacion X,71322,Madrid,"1,502",50,0,471,1,2
93,M,Si,35,No,Otros,10-20annos,Bajo,2,1989,Millennials,30236,Ceuta,"2,043",30,0,44,0,0
94,M,Si,61,No,Artista,+20annos,Bajo,1,1963,Generacion X,47955,Zamora,"1,424",30,0,291,0,4
95,M,Si,64,Si,Artista,+20annos,Medio,1,1960,Generacion X,26340,Vizcaya,"0,603",30,0,298,0,0
96,F,No,42,Si,Artista,+20annos,Bajo,1,1982,Millennials,60797,Baleares,"1,836",50,0,331,"0,5",2
97,M,Si,69,Si,Artista,+20annos,Alto,2,1955,Generacion X,119525,Santa Cruz de Tenerife,"1,189",50,0,501,4,3
98,M,Si,64,Si,Medico,+20annos,Medio,2,1960,Generacion X,99774,Alicante,"1,052",50,1,360,"0,5",1
99,M,Si,33,No,Ingeniero,10-20annos,Medio,3,1991,Millennials,26010,Valencia,"1,169",30,1,152,0,0
100,M,Si,66,Si,Artista,+20annos,Medio,4,1958,Generacion X,111087,Zamora,"1,6",80,0,51,0,3
101,M,Si,75,No,Ejecutivo,+20annos,Alto,7,1949,Generacion X,28531,Avila,"1,482",30,1,142,0,0
102,M,Si,57,No,Artista,+20annos,Bajo,3,1967,Generacion X,80413,Soria,"1,463",30,1,190,0,2
103,M,Si,42,No,Ejecutivo,+20annos,Alto,5,1982,Millennials,96292,Huesca,"1,054",30,1,355,"0,5",1
104,F,Si,39,Si,Funcionario,10-20annos,Bajo,2,1985,Millennials,20263,La Coruña,"0,962",30,0,194,0,0
105,M,No,20,No,Medico,<10annos,Bajo,2,2004,Generacion Z,16588,Ceuta,"1,685",30,0,349,"0,5",0
106,M,Si,33,Si,Construccion,10-20annos,Bajo,2,1991,Millennials,27655,Madrid,"0,916",30,0,416,3,0
107,M,No,95,No,Servicios,+20annos,Bajo,1,1929,Generacion Silenciosa,84497,Zamora,"1,189",120,0,53,0,1
109,M,No,28,No,Funcionario,<10annos,Bajo,3,1996,Millennials,23267,Granada,"2,651",30,1,246,0,0
110,M,Si,65,Si,Otros,+20annos,Bajo,4,1959,Generacion X,23790,Orense,"1,737",30,0,558,1,0
111,F,No,43,Si,Artista,+20annos,Bajo,1,1981,Millennials,30798,Santa Cruz de Tenerife,"1,859",30,0,469,1,0
112,F,Si,55,Si,Medico,+20annos,Bajo,1,1969,Generacion X,61943,Castellon,"0,7",50,0,210,0,2
113,M,No,52,Si,Artista,+20annos,Bajo,1,1972,Generacion X,107048,Pontevedra,"1,385",50,0,377,1,1
114,M,Si,47,Si,Ejecutivo,+20annos,Alto,3,1977,Generacion X,81464,Zamora,"0,896",80,0,322,"0,5",2
115,M,Si,40,No,Ejecutivo,10-20annos,Medio,4,1984,Millennials,82765,Guadalajara,"1,905",30,0,348,"0,5",2
116,M,Si,88,No,Servicios,+20annos,Bajo,1,1936,Generacion Silenciosa,98860,Zaragoza,"0,955",120,0,483,3,1
117,M,No,40,Si,Artista,10-20annos,Bajo,2,1984,Millennials,73875,Castellon,"0,87",50,0,473,3,2
118,M,No,30,No,Servicios,<10annos,Bajo,7,1994,Millennials,24750,La Coruña,"0,824",30,1,319,"0,5",0
119,F,Si,41,Si,Artista,10-20annos,Alto,2,1983,Millennials,102142,Guipuzcoa,"1,445",50,1,380,3,1
120,M,Si,51,Si,Ejecutivo,+20annos,Alto,3,1973,Generacion X,88796,Vizcaya,"0,974",80,0,347,"0,5",1
121,M,Si,61,No,Ejecutivo,+20annos,Alto,4,1963,Generacion X,64910,Tarragona,"1,189",30,0,170,0,2
122,F,Si,52,No,Ingeniero,+20annos,Medio,4,1972,Generacion X,91780,Zamora,"0,603",30,0,460,3,1
123,F,No,31,Si,Funcionario,<10annos,Bajo,3,1993,Millennials,31620,Orense,"0,847",30,0,463,3,0
124,M,Si,43,No,Otros,+20annos,Bajo,2,1981,Millennials,48982,Las Palmas,"0,847",30,1,216,0,4
125,F,Si,30,No,Negocios/empresa,<10annos,Bajo,2,1994,Millennials,25210,Gerona,"1,238",30,0,476,3,0
126,F,Si,46,No,Ingeniero,+20annos,Bajo,1,1978,Generacion X,37207,Cadiz,"1,443",30,0,410,3,4
127,M,Si,79,Si,Artista,+20annos,Medio,2,1945,Generacion Silenciosa,76162,Teruel,"0,681",50,1,370,3,2
128,F,Si,31,Si,Ingeniero,<10annos,Bajo,2,1993,Millennials,26401,Navarra,"1,031",30,0,202,0,0
129,M,No,39,Si,Otros,10-20annos,Bajo,5,1985,Millennials,20825,Zaragoza,"1,813",30,0,162,0,0
130,M,Si,43,Si,Ejecutivo,+20annos,Alto,5,1981,Millennials,102501,Zamora,"0,916",30,0,224,0,1
131,F,Si,76,Si,Servicios,+20annos,Alto,2,1948,Generacion X,126886,Toledo,"0,779",50,0,70,0,3
132,M,No,20,No,Funcionario,<10annos,Bajo,4,2004,Generacion Z,16116,Pontevedra,"14,085",30,0,465,3,0
133,M,Si,51,Si,Artista,+20annos,Bajo,1,1973,Generacion X,52430,Gerona,"0,642",50,0,457,3,4
134,F,Si,55,Si,Ingeniero,+20annos,Alto,2,1969,Generacion X,123559,Valladolid,"0,935",50,0,468,3,3
135,M,No,33,No,Ejecutivo,10-20annos,Bajo,5,1991,Millennials,19725,Ciudad Real,"1,629",30,1,113,0,0
136,F,No,45,No,Artista,+20annos,Bajo,2,1979,Generacion X,93183,Vizcaya,"1,652",120,0,90,0,1
137,F,No,43,Si,Artista,+20annos,Bajo,4,1981,Millennials,44048,Guipuzcoa,"1,859",30,1,246,0,4
138,F,No,32,No,Negocios/empresa,10-20annos,Bajo,4,1992,Millennials,18393,Malaga,"1,537",30,0,53,0,0
139,F,Si,41,Si,Artista,10-20annos,Bajo,4,1983,Millennials,26460,Leon,"1,054",30,0,67,0,0
140,F,Si,43,Si,Ingeniero,+20annos,Medio,2,1981,Millennials,22281,Huelva,"1,721",30,0,170,0,0
141,F,Si,53,Si,Artista,+20annos,Medio,5,1971,Generacion X,113361,Orense,"0,72",30,0,49,0,3
142,F,No,35,Si,Medico,10-20annos,Bajo,3,1989,Millennials,25568,Navarra,"1,583",30,0,499,3,0
143,M,Si,86,No,Servicios,+20annos,Bajo,1,1938,Generacion Silenciosa,70379,La Rioja,"0,915",30,0,255,0,2
144,F,Si,47,No,Ingeniero,+20annos,Medio,5,1977,Generacion X,21950,Las Palmas,"0,564",30,0,596,4,0
145,M,No,32,No,Negocios/empresa,10-20annos,Bajo,5,1992,Millennials,28472,Huesca,"1,744",30,0,564,4,0
146,F,Si,31,No,Ingeniero,<10annos,Medio,2,1993,Millennials,22265,Gerona,"1,951",30,1,248,0,0
147,M,Si,88,Si,Servicios,+20annos,Bajo,1,1936,Generacion Silenciosa,124934,Cuenca,"0,837",50,0,442,3,3
148,F,No,31,Si,Funcionario,<10annos,Bajo,4,1993,Millennials,19619,Almeria,"1,376",30,1,361,"0,5",0
149,M,Si,78,Si,Artista,+20annos,Medio,3,1946,Generacion X,87130,Melilla,"0,896",80,0,276,0,1
150,M,Si,74,No,Servicios,+20annos,Alto,9,1950,Generacion X,72312,Soria,"1,091",30,1,363,"0,5",2
151,F,No,29,No,Ingeniero,<10annos,Bajo,1,1995,Millennials,30607,Melilla,"2,961",30,1,176,0,0
152,F,Si,52,Si,Ingeniero,+20annos,Medio,2,1972,Generacion X,66892,Gerona,"1,306",50,1,169,0,2
153,F,Si,47,Si,Artista,+20annos,Medio,2,1977,Generacion X,84769,Toledo,"1,717",50,0,477,3,1
154,F,No,30,Si,Funcionario,<10annos,Bajo,4,1994,Millennials,18748,Pontevedra,"1,698",30,0,97,0,0
155,F,Si,50,Si,Negocios/empresa,+20annos,Bajo,4,1974,Generacion X,63734,Granada,"1,58",80,0,126,0,2
156,M,Si,84,No,Ejecutivo,+20annos,Bajo,1,1940,Generacion Silenciosa,53698,Salamanca,"0,974",30,0,259,0,4
157,F,Si,47,Si,Artista,+20annos,Medio,4,1977,Generacion X,21366,Ciudad Real,"1,502",30,0,569,4,0
158,F,Si,86,Si,Servicios,+20annos,Alto,2,1938,Generacion Silenciosa,44132,Lugo,"0,564",50,1,301,"0,5",4
159,M,Si,39,Si,Artista,10-20annos,Medio,3,1985,Millennials,28417,Ciudad Real,"2,066",30,1,152,0,0
160,F,No,54,Si,Artista,+20annos,Bajo,1,1970,Generacion X,124487,LLeida,"0,876",50,0,166,0,3
161,F,No,28,Si,Funcionario,<10annos,Bajo,5,1996,Millennials,18643,Badajoz,"1,995",30,0,348,"0,5",0
162,M,Si,41,No,Ejecutivo,10-20annos,Medio,5,1983,Millennials,44300,Leon,"1,491",30,0,368,3,4
163,F,No,35,No,Funcionario,10-20annos,Bajo,5,1989,Millennials,20220,Salamanca,"1,261",30,0,276,0,0
164,M,Si,66,Si,Medico,+20annos,Medio,2,1958,Generacion X,49821,LLeida,"1,404",50,0,430,3,4
165,F,Si,50,Si,Artista,+20annos,Medio,3,1974,Generacion X,22711,Palencia,"1,561",30,1,190,0,0
166,F,Si,54,Si,Construccion,+20annos,Medio,3,1970,Generacion X,53234,Guipuzcoa,"0,564",30,0,425,3,4
167,M,No,35,Si,Artista,10-20annos,Bajo,5,1989,Millennials,19156,Madrid,"1,583",30,0,54,0,0
168,F,Si,44,Si,Artista,+20annos,Bajo,3,1980,Generacion X,22265,Orense,"1,169",30,0,63,0,0
169,M,Si,65,No,Artista,+20annos,Medio,2,1959,Generacion X,22607,Cuenca,"1,346",30,0,208,0,0
170,M,Si,53,Si,Artista,+20annos,Bajo,5,1971,Generacion X,37965,Granada,"0,72",30,1,308,"0,5",4
171,M,Si,90,Si,Ejecutivo,+20annos,Alto,2,1934,Generacion Silenciosa,62419,Valladolid,"1,17",50,0,382,3,2
172,F,Si,77,Si,Servicios,+20annos,Bajo,2,1947,Generacion X,29465,Valladolid,"1,228",30,0,253,0,0
173,M,No,34,Si,Artista,10-20annos,Bajo,2,1990,Millennials,18697,Zamora,"1,353",30,1,230,0,0
174,F,Si,79,Si,Servicios,+20annos,Alto,2,1945,Generacion Silenciosa,62399,Almeria,"1,737",50,1,138,0,2
175,M,Si,55,Si,Artista,+20annos,Medio,4,1969,Generacion X,86180,Valencia,"0,74",80,0,330,"0,5",1
176,F,No,25,No,Ingeniero,<10annos,Bajo,1,1999,Generacion Z,28548,Lugo,"2,306",30,0,489,3,0
177,F,No,22,No,Funcionario,<10annos,Bajo,6,2002,Generacion Z,19365,Salamanca,"3,099",30,0,517,4,0
178,F,No,24,No,Funcionario,<10annos,Bajo,3,2000,Generacion Z,21141,Jaen,"2,168",30,0,411,3,0
179,F,No,34,Si,Ingeniero,10-20annos,Bajo,1,1990,Millennials,27658,Las Palmas,"0,755",30,0,128,0,0
180,F,Si,40,Si,Artista,10-20annos,Medio,2,1984,Millennials,34364,Albacete,"0,778",30,0,482,3,0
181,M,Si,57,No,Otros,+20annos,Medio,5,1967,Generacion X,120574,Granada,"1,678",200,0,508,4,3
182,F,No,32,Si,Artista,10-20annos,Bajo,1,1992,Millennials,21687,Las Palmas,"0,732",30,0,439,3,0
183,M,Si,44,Si,Artista,+20annos,Medio,4,1980,Generacion X,116326,Salamanca,"1,1",30,0,320,"0,5",3
184,F,No,44,Si,Artista,+20annos,Bajo,1,1980,Generacion X,90572,Las Palmas,"1,675",50,0,441,1,1
185,M,Si,42,Si,Artista,+20annos,Bajo,2,1982,Millennials,21506,Jaen,"1,307",30,0,527,1,0
186,F,Si,94,No,Servicios,+20annos,Bajo,1,1930,Generacion Silenciosa,67106,Pontevedra,"0,935",30,1,264,0,2
187,F,No,23,No,Medico,<10annos,Bajo,3,2001,Generacion Z,13284,Alicante,"2,754",30,0,259,0,0
188,F,Si,45,No,Ingeniero,+20annos,Medio,2,1979,Generacion X,79451,Sevilla,"1,008",120,0,146,0,2
189,M,Si,44,Si,Artista,+20annos,Bajo,2,1980,Generacion X,123254,Alicante,"1,146",50,0,100,0,3
190,M,Si,58,Si,Artista,+20annos,Medio,3,1966,Generacion X,94980,Cordoba,"1,287",80,1,172,0,1
191,F,Si,46,Si,Artista,+20annos,Bajo,2,1978,Generacion X,25715,Gerona,"15,215",30,0,306,"0,5",0
192,M,Si,46,No,Ejecutivo,+20annos,Bajo,2,1978,Generacion X,76575,Toledo,"1,306",120,1,104,0,2
193,M,Si,53,Si,Artista,+20annos,Medio,4,1971,Generacion X,78640,Valencia,"1,052",80,0,266,0,2
194,M,Si,65,Si,Artista,+20annos,Bajo,2,1959,Generacion X,52301,Cordoba,"1,737",50,0,564,1,4
195,M,Si,45,Si,Ejecutivo,+20annos,Medio,3,1979,Generacion X,118305,Cordoba,"1,744",30,0,512,4,3
196,F,Si,34,Si,Artista,10-20annos,Medio,2,1990,Millennials,30375,Teruel,"1,514",30,1,148,0,0
197,F,Si,54,Si,Artista,+20annos,Alto,5,1970,Generacion X,111245,Murcia,"1,678",30,1,140,0,3
198,M,Si,74,Si,Ejecutivo,+20annos,Bajo,2,1950,Generacion X,112983,Toledo,"0,759",50,0,475,3,3
199,M,Si,39,No,Artista,10-20annos,Medio,2,1985,Millennials,23791,Ciudad Real,"0,939",30,0,497,3,0
200,F,No,29,Si,Funcionario,<10annos,Bajo,3,1995,Millennials,21493,Gerona,"1,685",30,0,195,0,0
202,F,Si,28,No,Ingeniero,<10annos,Medio,8,1996,Millennials,24677,La Coruña,"1,788",30,0,141,0,0
203,F,Si,43,Si,Funcionario,+20annos,Bajo,2,1981,Millennials,119370,Valladolid,"1,491",50,1,182,0,3
204,M,Si,69,Si,Otros,+20annos,Bajo,2,1955,Generacion X,67990,Zaragoza,"1,091",50,0,330,"0,5",2
205,M,No,25,No,Funcionario,<10annos,Bajo,3,1999,Generacion Z,25792,LLeida,"2,306",30,0,130,0,0
206,F,No,25,No,Funcionario,<10annos,Bajo,3,1999,Generacion Z,25123,Vizcaya,"2,306",30,0,516,4,0
207,F,Si,58,Si,Artista,+20annos,Bajo,1,1966,Generacion X,75114,Valencia,"0,7",50,1,240,0,2
208,M,No,36,Si,Medico,10-20annos,Bajo,2,1988,Millennials,22309,Granada,"0,801",30,0,515,4,0
209,F,Si,55,No,Ingeniero,+20annos,Medio,4,1969,Generacion X,42798,Ceuta,"0,818",30,1,141,0,4
210,F,Si,76,Si,Ingeniero,+20annos,Bajo,2,1948,Generacion X,116292,La Coruña,"1,033",50,1,366,3,3
211,M,No,41,Si,Artista,10-20annos,Bajo,1,1983,Millennials,111610,Badajoz,"1,238",50,0,53,0,3
212,F,No,22,No,Negocios/empresa,<10annos,Bajo,4,2002,Generacion Z,19315,Lugo,"2,409",30,0,238,0,0
214,F,Si,54,Si,Medico,+20annos,Medio,4,1970,Generacion X,21962,Valencia,"1,424",30,0,379,3,0
215,M,No,20,No,Funcionario,<10annos,Bajo,3,2004,Generacion Z,13516,Melilla,"1,719",30,0,277,0,0
216,F,Si,57,Si,Medico,+20annos,Medio,2,1967,Generacion X,44875,Cordoba,"1,385",50,1,138,0,4
217,M,Si,28,No,Medico,<10annos,Medio,2,1996,Millennials,25044,Orense,"1,374",30,1,112,0,0
218,M,Si,62,No,Ejecutivo,+20annos,Alto,2,1962,Generacion X,28075,Valladolid,"1,639",30,0,238,0,0
219,M,No,68,Si,Servicios,+20annos,Bajo,1,1956,Generacion X,127188,Alava,"0,974",50,0,506,4,3
221,M,Si,31,Si,Ingeniero,<10annos,Medio,2,1993,Millennials,23023,Segovia,"1,56",30,0,364,"0,5",0
222,F,No,31,Si,Artista,<10annos,Bajo,3,1993,Millennials,21556,Salamanca,"1,468",30,0,282,0,0
223,M,No,22,No,Funcionario,<10annos,Bajo,5,2002,Generacion Z,15005,Zaragoza,"1,236",30,0,321,"0,5",0
224,F,No,30,No,Construccion,<10annos,Bajo,1,1994,Millennials,29143,Zaragoza,"1,031",30,0,532,4,0
225,F,No,62,No,Ingeniero,+20annos,Bajo,1,1962,Generacion X,69229,Malaga,"1,326",30,0,521,4,2
226,M,Si,50,Si,Artista,+20annos,Medio,4,1974,Generacion X,48692,Palencia,"0,72",30,0,583,4,4
227,M,No,28,Si,Funcionario,<10annos,Bajo,4,1996,Millennials,23938,Granada,"1,512",30,0,33,0,0
228,M,No,44,No,Negocios/empresa,+20annos,Bajo,1,1980,Generacion X,47218,Soria,"1,077",30,1,279,0,4
