ID;Genero;Casado;Edad;Graduado;Profesion;Experiencia laboral;Gastoscore;Family_Size;anno_nacimiento;Generación ;Ingresos anuales brutos;Provincia;Digital_encuenta_index;Gasto_medio_mensual_cuota;Abandono;Dias_cliente;camp_anno
CLI55;F;Si;63;Si;Otros;+20años;Medio;2;1961;Baby Boomer;90571;La Coruña;974;50;0;128;
CLI56;M;Si;84;No;Negocios/empresa;+20años;Bajo;1;1940;Baby Boomer;87489;Toledo;1385;120;0;550;4
CLI57;M;Si;35;Si;Artista;10-20años;Medio;2;1989;Millennial;19307;Zamora;1514;30;0;462;3
CLI58;M;No;28;Si;Funcionario;<10años;Bajo;4;1996;Millennial;27496;Huelva;2237;30;0;401;3
CLI59;M;No;35;;Médico;10-20años;Bajo;2;1989;Millennial;20048;Madrid;916;30;0;186;
CLI60;F;Si;50;Si;Artista;+20años;Medio;3;1974;Generación X;73150;Segovia;7395;80;0;523;4
CLI61;M;Si;79;Si;Servicios;+20años;Bajo;1;1945;Baby Boomer;77468;Segovia;1580;50;0;579;1
CLI62;M;Si;53;Si;Artista;+20años;Medio;2;1971;Generación X;22901;Burgos;71995;30;0;65;
CLI63;M;Si;61;Si;Artista;+20años;Medio;2;1963;Baby Boomer;56381;Burgos;5831;50;0;296;
CLI64;M;Si;81;Si;Servicios;+20años;Alto;3;1943;Baby Boomer;31295;Pontevedra;8177;30;1;170;
CLI65;M;Si;62;Si;Servicios;+20años;Alto;2;1962;Generación Silenciosa;102447;Guadalajara;1404;50;0;571;1
CLI66;M;Si;65;Si;Servicios;+20años;Alto;2;1959;Baby Boomer;76260;Badajoz;1502;50;0;215;
CLI67;M;No;28;Si;Otros;<10años;Bajo;2;1996;Millennial;25833;Vizcaya;2168;30;0;372;3
CLI68;M;Si;34;Si;Médico;10-20años;Medio;2;1990;Millennial;26168;Sevilla;939;30;0;594;4
CLI69;M;No;30;No;Artista;<10años;Bajo;4;1994;Millennial;27182;Guadalajara;1583;30;0;186;
CLI70;M;Si;63;Si;Artista;+20años;Medio;4;1961;Baby Boomer;42360;Huelva;1033;30;0;35;
CLI71;F;Si;43;Si;Construcción;+20años;Alto;2;1981;Millennial;86946;Salamanca;824;50;0;198;
CLI72;M;Si;30;Si;Funcionario;<10años;Bajo;2;1994;Millennial;21017;Alicante;1813;30;0;451;3
CLI73;F;Si;56;Si;Otros;+20años;Medio;2;1968;Generación X;125882;León;6613;50;1;327;0,5
CLI74;F;Si;52;No;Artista;+20años;Medio;5;1972;Generación X;47137;Burgos;83725;30;0;372;3
CLI75;F;No;36;No;Funcionario;10-20años;Bajo;4;1988;Millennial;22495;Ciudad Real;202;30;0;215;
CLI76;M;Si;62;Si;Artista;+20años;Medio;4;1962;Baby Boomer;59420;Teruel;1326;80;0;223;
CLI77;F;No;36;No;Construcción;10-20años;Bajo;3;1988;Millennial;24846;Lérida;732;30;0;145;
CLI78;F;No;40;Si;Médico;10-20años;Bajo;2;1984;Millennial;103438;Soria;1721;50;1;249;
CLI79;M;Si;56;No;Artista;+20años;Bajo;3;1968;Generación X;28702;Granada;1170;30;1;391;3
CLI80;M;Si;50;Si;Ingeniero/Técnicos;+20años;Medio;2;1974;Generación X;72025;Alicante;6222;50;0;47;
CLI81;F;No;54;Si;Servicios;+20años;Bajo;1;1970;Generación X;40072;Cádiz;1248;50;0;311;0,5
CLI82;M;No;33;No;Funcionario;10-20años;Bajo;4;1991;Millennial;19080;Ceuta;1813;30;0;340;0,5
CLI83;F;No;29;No;Funcionario;<10años;Bajo;3;1995;Millennial;23048;Badajoz;2720;30;1;220;
CLI84;M;Si;69;Si;Artista;+20años;Bajo;1;1955;Baby Boomer;47386;La Coruña;71995;50;0;549;4
CLI85;M;Si;39;No;Otros;10-20años;Medio;4;1985;Millennial;23456;Cáceres;1261;30;0;512;4
CLI86;F;No;21;No;Negocios/empresa;<10años;Bajo;3;2003;Millennial;14401;La Coruña;1754;30;0;144;
CLI87;M;No;35;No;Funcionario;10-20años;Bajo;5;1989;Millennial;30889;Barcelona;1905;30;0;314;0,5
CLI88;M;Si;57;Si;Artista;+20años;Medio;3;1967;Generación X;38323;Cáceres;857;30;0;245;
CLI89;F;Si;40;Si;Artista;10-20años;Bajo;2;1984;Millennial;25955;Cuenca;2066;30;0;252;
CLI90;F;No;46;No;Otros;+20años;Bajo;3;1978;Generación X;24287;Ciudad Real;8177;30;0;438;3
CLI91;M;Si;44;No;Médico;+20años;Medio;2;1980;Generación X;110264;Lérida;1905;120;1;316;0,5
CLI92;M;No;43;Si;Otros;+20años;Bajo;3;1981;Millennial;40139;Guadalajara;1882;30;0;293;
CLI93;F;Si;52;Si;Artista;+20años;Medio;4;1972;Generación X;108973;Palencia;1170;80;0;109;
CLI94;F;Si;67;Si;Artista;+20años;Alto;2;1957;Baby Boomer;71322;Madrid;1502;50;0;471;1
CLI95;M;Si;35;No;Otros;10-20años;Bajo;2;1989;Millennial;30236;Ceuta;2043;30;0;44;
CLI96;M;Si;61;No;Artista;+20años;Bajo;1;1963;Baby Boomer;47955;Zamora;1424;30;0;291;
CLI97;M;Si;64;Si;Artista;+20años;Medio;1;1960;Baby Boomer;26340;Vizcaya;60265;30;0;298;
CLI98;F;No;42;Si;Artista;+20años;Bajo;1;1982;Millennial;60797;Baleares;1836;50;0;331;0,5
CLI99;M;Si;69;Si;Artista;+20años;Alto;2;1955;Baby Boomer;119525;Santa Cruz de Tenerife;1189;50;0;501;4
CLI100;M;Si;64;Si;Médico;+20años;Medio;2;1960;Baby Boomer;99774;Alicante;1052;50;1;360;0,5
CLI101;M;Si;33;No;Ingeniero/Técnicos;10-20años;Medio;3;1991;Millennial;26010;Valencia;1169;30;1;152;
CLI102;M;Si;66;Si;Artista;+20años;Medio;4;1958;Baby Boomer;111087;Zamora;1600;80;0;51;
CLI103;M;Si;75;No;Ejecutivo;+20años;Alto;7;1949;Baby Boomer;28531;Ávila;1482;30;1;142;
CLI104;M;Si;57;No;Artista;+20años;Bajo;3;1967;Generación X;80413;Soria;1463;30;1;190;
CLI105;M;Si;42;No;Ejecutivo;+20años;Alto;5;1982;Millennial;96292;Huesca;1054;30;1;355;0,5
CLI106;F;Si;39;Si;Funcionario;10-20años;Bajo;2;1985;Millennial;20263;La Coruña;962;30;0;194;
CLI107;M;No;20;No;Médico;<10años;Bajo;2;2004;Millennial;16588;Ceuta;1685;30;0;349;0,5
CLI108;M;Si;33;Si;Construcción;10-20años;Bajo;2;1991;Millennial;27655;Madrid;916;30;0;416;3
CLI109;M;No;95;No;Servicios;+20años;Bajo;1;1929;Baby Boomer;84497;Zamora;1189;120;0;53;
CLI110;F;;21;No;Funcionario;<10años;Bajo;5;2003;Millennial;23229;Melilla;2478;30;0;422;3
CLI111;M;No;28;No;Funcionario;<10años;Bajo;3;1996;Millennial;23267;Granada;2651;30;1;246;
CLI112;M;Si;65;Si;Otros;+20años;Bajo;4;1959;Baby Boomer;23790;Orense;1737;30;0;558;1
CLI113;F;No;43;Si;Artista;+20años;Bajo;1;1981;Millennial;30798;Santa Cruz de Tenerife;1859;30;0;469;1
CLI114;F;Si;55;Si;Médico;+20años;Bajo;1;1969;Generación X;61943;Castellón;7004;50;0;210;
CLI115;M;No;52;Si;Artista;+20años;Bajo;1;1972;Generación X;107048;Pontevedra;1385;50;0;377;1
CLI116;M;Si;47;Si;Ejecutivo;+20años;Alto;3;1977;Generación X;81464;Zamora;896;80;0;322;0,5
CLI117;M;Si;40;No;Ejecutivo;10-20años;Medio;4;1984;Millennial;82765;Guadalajara;1905;30;0;348;0,5
CLI118;M;Si;88;No;Servicios;+20años;Bajo;1;1936;Baby Boomer;98860;Zaragoza;955;120;0;483;3
CLI119;M;No;40;Si;Artista;10-20años;Bajo;2;1984;Millennial;73875;Castellón;87;50;0;473;3
CLI120;M;No;30;No;Servicios;<10años;Bajo;7;1994;Millennial;24750;La Coruña;824;30;1;319;0,5
CLI121;F;Si;41;Si;Artista;10-20años;Alto;2;1983;Millennial;102142;Guipúzcoa;1445;50;1;380;3
CLI122;M;Si;51;Si;Ejecutivo;+20años;Alto;3;1973;Generación X;88796;Vizcaya;974;80;0;347;0,5
CLI123;M;Si;61;No;Ejecutivo;+20años;Alto;4;1963;Baby Boomer;64910;Tarragona;1189;30;0;170;
CLI124;F;Si;52;No;Ingeniero/Técnicos;+20años;Medio;4;1972;Generación X;91780;Zamora;60265;30;0;460;3
CLI125;F;No;31;Si;Funcionario;<10años;Bajo;3;1993;Millennial;31620;Orense;847;30;0;463;3
CLI126;M;Si;43;No;Otros;+20años;Bajo;2;1981;Millennial;48982;Las Palmas;847;30;1;216;
CLI127;F;Si;30;No;Negocios/empresa;<10años;Bajo;2;1994;Millennial;25210;Gerona;1238;30;0;476;3
CLI128;F;Si;46;No;Ingeniero/Técnicos;+20años;Bajo;1;1978;Generación X;37207;Cádiz;1443;30;0;410;3
CLI129;M;Si;79;Si;Artista;+20años;Medio;2;1945;Baby Boomer;76162;Teruel;68085;50;1;370;3
CLI130;F;Si;31;Si;Ingeniero/Técnicos;<10años;Bajo;2;1993;Millennial;26401;Navarra;1031;30;0;202;
CLI131;M;No;39;Si;Otros;10-20años;Bajo;5;1985;Millennial;20825;Zaragoza;1813;30;0;162;
CLI132;M;Si;43;Si;Ejecutivo;+20años;Alto;5;1981;Millennial;102501;Zamora;916;30;0;224;
CLI133;F;Si;76;Si;Servicios;+20años;Alto;2;1948;Baby Boomer;126886;Toledo;7786;50;0;70;
CLI134;M;No;20;No;Funcionario;<10años;Bajo;4;2004;Millennial;16116;Pontevedra;14085;30;0;465;3
CLI135;M;Si;51;Si;Artista;+20años;Bajo;1;1973;Generación X;52430;Gerona;64175;50;0;457;3
CLI136;F;Si;55;Si;Ingeniero/Técnicos;+20años;Alto;2;1969;Generación X;123559;Valladolid;935;50;0;468;3
CLI137;M;No;33;No;Ejecutivo;10-20años;Bajo;5;1991;Millennial;19725;Ciudad Real;1629;30;1;113;
CLI138;F;No;45;No;Artista;+20años;Bajo;2;1979;Generación X;93183;Vizcaya;1652;120;0;90;
CLI139;F;No;43;Si;Artista;+20años;Bajo;4;1981;Millennial;44048;Guipúzcoa;1859;30;1;246;
CLI140;F;No;32;No;Negocios/empresa;10-20años;Bajo;4;1992;Millennial;18393;Málaga;1537;30;0;53;
CLI141;F;Si;41;Si;Artista;10-20años;Bajo;4;1983;Millennial;26460;León;1054;30;0;67;
CLI142;F;Si;43;Si;Ingeniero/Técnicos;+20años;Medio;2;1981;Millennial;22281;Huelva;1721;30;0;170;
CLI143;F;Si;53;Si;Artista;+20años;Medio;5;1971;Generación X;113361;Orense;71995;30;0;49;
CLI144;F;No;35;Si;Médico;10-20años;Bajo;3;1989;Millennial;25568;Navarra;1583;30;0;499;3
CLI145;M;Si;86;No;Servicios;+20años;Bajo;1;1938;Baby Boomer;70379;La Rioja;915;30;0;255;
CLI146;F;Si;47;No;Ingeniero/Técnicos;+20años;Medio;5;1977;Generación X;21950;Las Palmas;56355;30;0;596;4
CLI147;M;No;32;No;Negocios/empresa;10-20años;Bajo;5;1992;Millennial;28472;Huesca;1744;30;0;564;4
CLI148;F;Si;31;No;Ingeniero/Técnicos;<10años;Medio;2;1993;Millennial;22265;Gerona;1951;30;1;248;
CLI149;M;Si;88;Si;Servicios;+20años;Bajo;1;1936;Baby Boomer;124934;Cuenca;83725;50;0;442;3
CLI150;F;No;31;Si;Funcionario;<10años;Bajo;4;1993;Millennial;19619;Almería;1376;30;1;361;0,5
CLI151;M;Si;78;Si;Artista;+20años;Medio;3;1946;Baby Boomer;87130;Melilla;896;80;0;276;
CLI152;M;Si;74;No;Servicios;+20años;Alto;9;1950;Baby Boomer;72312;Soria;1091;30;1;363;0,5
CLI153;F;No;29;No;Ingeniero/Técnicos;<10años;Bajo;1;1995;Millennial;30607;Melilla;2961;30;1;176;
CLI154;F;Si;52;Si;Ingeniero/Técnicos;+20años;Medio;2;1972;Generación X;66892;Gerona;1306;50;1;169;
CLI155;F;Si;47;Si;Artista;+20años;Medio;2;1977;Generación X;84769;Toledo;1717;50;0;477;3
CLI156;F;No;30;Si;Funcionario;<10años;Bajo;4;1994;Millennial;18748;Pontevedra;1698;30;0;97;
CLI157;F;Si;50;Si;Negocios/empresa;+20años;Bajo;4;1974;Generación X;63734;Granada;1580;80;0;126;
CLI158;M;Si;84;No;Ejecutivo;+20años;Bajo;1;1940;Baby Boomer;53698;Salamanca;974;30;0;259;
CLI159;F;Si;47;Si;Artista;+20años;Medio;4;1977;Generación X;21366;Ciudad Real;1502;30;0;569;4
CLI160;F;Si;86;Si;Servicios;+20años;Alto;2;1938;Baby Boomer;44132;Lugo;56355;50;1;301;0,5
CLI161;M;Si;39;Si;Artista;10-20años;Medio;3;1985;Millennial;28417;Ciudad Real;2066;30;1;152;
CLI162;F;No;54;Si;Artista;+20años;Bajo;1;1970;Generación X;124487;Lérida;876;50;0;166;
CLI163;F;No;28;Si;Funcionario;<10años;Bajo;5;1996;Millennial;18643;Badajoz;1995;30;0;348;0,5
CLI164;M;Si;41;No;Ejecutivo;10-20años;Medio;5;1983;Millennial;44300;León;1491;30;0;368;3
CLI165;F;No;35;No;Funcionario;10-20años;Bajo;5;1989;Millennial;20220;Salamanca;1261;30;0;276;
CLI166;M;Si;66;Si;Médico;+20años;Medio;2;1958;Baby Boomer;49821;Lérida;1404;50;0;430;3
CLI167;F;Si;50;Si;Artista;+20años;Medio;3;1974;Generación X;22711;Palencia;1561;30;1;190;
CLI168;F;Si;54;Si;Construcción;+20años;Medio;3;1970;Generación X;53234;Guipúzcoa;56355;30;0;425;3
CLI169;M;No;35;Si;Artista;10-20años;Bajo;5;1989;Millennial;19156;Madrid;1583;30;0;54;
CLI170;F;Si;44;Si;Artista;+20años;Bajo;3;1980;Generación X;22265;Orense;1169;30;0;63;
CLI171;M;Si;65;No;Artista;+20años;Medio;2;1959;Baby Boomer;22607;Cuenca;1346;30;0;208;
CLI172;M;Si;53;Si;Artista;+20años;Bajo;5;1971;Generación X;37965;Granada;71995;30;1;308;0,5
CLI173;M;Si;90;Si;Ejecutivo;+20años;Alto;2;1934;Baby Boomer;62419;Valladolid;1170;50;0;382;3
CLI174;F;Si;77;Si;Servicios;+20años;Bajo;2;1947;Generación Silenciosa;29465;Valladolid;1228;30;0;253;
CLI175;M;No;34;Si;Artista;10-20años;Bajo;2;1990;Millennial;18697;Zamora;1353;30;1;230;
CLI176;F;Si;79;Si;Servicios;+20años;Alto;2;1945;Baby Boomer;62399;Almería;1737;50;1;138;
CLI177;M;Si;55;Si;Artista;+20años;Medio;4;1969;Generación X;86180;Valencia;7395;80;0;330;0,5
CLI178;F;No;25;No;Ingeniero/Técnicos;<10años;Bajo;1;1999;Millennial;28548;Lugo;2306;30;0;489;3
CLI179;F;No;22;No;Funcionario;<10años;Bajo;6;2002;Millennial;19365;Salamanca;3099;30;0;517;4
CLI180;F;No;24;No;Funcionario;<10años;Bajo;3;2000;Millennial;21141;Jaén;2168;30;0;411;3
CLI181;F;No;34;Si;Ingeniero/Técnicos;10-20años;Bajo;1;1990;Millennial;27658;Las Palmas;755;30;0;128;
CLI182;F;Si;40;Si;Artista;10-20años;Medio;2;1984;Millennial;34364;Albacete;778;30;0;482;3
CLI183;M;Si;57;No;Otros;+20años;Medio;5;1967;Generación X;120574;Granada;1678;200;0;508;4
CLI184;F;No;32;Si;Artista;10-20años;Bajo;1;1992;Millennial;21687;Las Palmas;732;30;0;439;3
CLI185;M;Si;44;Si;Artista;+20años;Medio;4;1980;Generación X;116326;Salamanca;11;30;0;320;0,5
CLI186;F;No;44;Si;Artista;+20años;Bajo;1;1980;Generación X;90572;Las Palmas;1675;50;0;441;1
CLI187;M;Si;42;Si;Artista;+20años;Bajo;2;1982;Millennial;21506;Jaén;1307;30;0;527;1
CLI188;F;Si;94;No;Servicios;+20años;Bajo;1;1930;Baby Boomer;67106;Pontevedra;935;30;1;264;
CLI189;F;No;23;No;Médico;<10años;Bajo;3;2001;Millennial;13284;Alicante;2754;30;0;259;
CLI190;F;Si;45;No;Ingeniero/Técnicos;+20años;Medio;2;1979;Generación X;79451;Sevilla;1008;120;0;146;
CLI191;M;Si;44;Si;Artista;+20años;Bajo;2;1980;Generación X;123254;Alicante;1146;50;0;100;
CLI192;M;Si;58;Si;Artista;+20años;Medio;3;1966;Generación X;94980;Córdoba;1287;80;1;172;
CLI193;F;Si;46;Si;Artista;+20años;Bajo;2;1978;Generación X;25715;Gerona;15215;30;0;306;0,5
CLI194;M;Si;46;No;Ejecutivo;+20años;Bajo;2;1978;Generación X;76575;Toledo;1306;120;1;104;
CLI195;M;Si;53;Si;Artista;+20años;Medio;4;1971;Generación X;78640;Valencia;1052;80;0;266;
CLI196;M;Si;65;Si;Artista;+20años;Bajo;2;1959;Baby Boomer;52301;Córdoba;1737;50;0;564;1
CLI197;M;Si;45;Si;Ejecutivo;+20años;Medio;3;1979;Generación X;118305;Córdoba;1744;30;0;512;4
CLI198;F;Si;34;Si;Artista;10-20años;Medio;2;1990;Millennial;30375;Teruel;1514;30;1;148;
CLI199;F;Si;54;Si;Artista;+20años;Alto;5;1970;Generación X;111245;Murcia;1678;30;1;140;
CLI200;M;Si;74;Si;Ejecutivo;+20años;Bajo;2;1950;Baby Boomer;112983;Toledo;75905;50;0;475;3
CLI201;M;Si;39;No;Artista;10-20años;Medio;2;1985;Millennial;23791;Ciudad Real;939;30;0;497;3
CLI202;F;No;29;Si;Funcionario;<10años;Bajo;3;1995;Millennial;21493;Gerona;1685;30;0;195;
CLI203;M;;21;No;Funcionario;<10años;Bajo;3;2003;Millennial;18379;Orense;1788;30;1;344;0,5
CLI204;F;Si;28;No;Ingeniero/Técnicos;<10años;Medio;8;1996;Millennial;24677;La Coruña;1788;30;0;141;
CLI205;F;Si;43;Si;Funcionario;+20años;Bajo;2;1981;Millennial;119370;Valladolid;1491;50;1;182;
CLI206;M;Si;69;Si;Otros;+20años;Bajo;2;1955;Baby Boomer;67990;Zaragoza;1091;50;0;330;0,5
CLI207;M;No;25;No;Funcionario;<10años;Bajo;3;1999;Millennial;25792;Lérida;2306;30;0;130;
CLI208;F;No;25;No;Funcionario;<10años;Bajo;3;1999;Millennial;25123;Vizcaya;2306;30;0;516;4
CLI209;F;Si;58;Si;Artista;+20años;Bajo;1;1966;Generación X;75114;Valencia;7004;50;1;240;
CLI210;M;No;36;Si;Médico;10-20años;Bajo;2;1988;Millennial;22309;Granada;801;30;0;515;4
CLI211;F;Si;55;No;Ingeniero/Técnicos;+20años;Medio;4;1969;Generación X;42798;Ceuta;8177;30;1;141;
CLI212;F;Si;76;Si;Ingeniero/Técnicos;+20años;Bajo;2;1948;Baby Boomer;116292;La Coruña;1033;50;1;366;3
CLI213;M;No;41;Si;Artista;10-20años;Bajo;1;1983;Millennial;111610;Badajoz;1238;50;0;53;
CLI214;F;No;22;No;Negocios/empresa;<10años;Bajo;4;2002;Millennial;19315;Lugo;2409;30;0;238;
CLI215;F;;94;No;Servicios;+20años;Alto;1;1930;Baby Boomer;83312;Salamanca;955;120;0;288;
CLI216;F;Si;54;Si;Médico;+20años;Medio;4;1970;Generación X;21962;Valencia;1424;30;0;379;3
CLI217;M;No;20;No;Funcionario;<10años;Bajo;3;2004;Millennial;13516;Melilla;1719;30;0;277;
CLI218;F;Si;57;Si;Médico;+20años;Medio;2;1967;Generación X;44875;Córdoba;1385;50;1;138;
CLI219;M;Si;28;No;Médico;<10años;Medio;2;1996;Millennial;25044;Orense;1374;30;1;112;
CLI220;M;Si;62;No;Ejecutivo;+20años;Alto;2;1962;Baby Boomer;28075;Valladolid;1639;30;0;238;
CLI221;M;No;68;Si;Servicios;+20años;Bajo;1;1956;Baby Boomer;127188;Álava;974;50;0;506;4
CLI222;F;No;39;;Artista;10-20años;Bajo;3;1985;Millennial;25028;Badajoz;1123;30;0;226;
CLI223;M;Si;31;Si;Ingeniero/Técnicos;<10años;Medio;2;1993;Millennial;23023;Segovia;156;30;0;364;0,5
CLI224;F;No;31;Si;Artista;<10años;Bajo;3;1993;Millennial;21556;Salamanca;1468;30;0;282;
CLI225;M;No;22;No;Funcionario;<10años;Bajo;5;2002;Millennial;15005;Zaragoza;1236;30;0;321;0,5
CLI226;F;No;30;No;Construcción;<10años;Bajo;1;1994;Millennial;29143;Zaragoza;1031;30;0;532;4
CLI227;F;No;62;No;Ingeniero/Técnicos;+20años;Bajo;1;1962;Baby Boomer;69229;Málaga;1326;30;0;521;4
CLI228;M;Si;50;Si;Artista;+20años;Medio;4;1974;Generación X;48692;Palencia;71995;30;0;583;4
CLI229;M;No;28;Si;Funcionario;<10años;Bajo;4;1996;Millennial;23938;Granada;1512;30;0;33;
CLI230;M;No;44;No;Negocios/empresa;+20años;Bajo;1;1980;Generación X;47218;Soria;1077;30;1;279;
CLI231;F;Si;28;Si;Funcionario;<10años;Bajo;2;1996;Millennial;19509;Alicante;1305;30;0;411;3
CLI232;F;Si;81;No;Servicios;+20años;Alto;2;1943;Baby Boomer;64200;Castellón;1697;30;0;428;3
CLI233;F;No;25;No;Funcionario;<10años;Bajo;4;1999;Millennial;30810;Granada;2927;30;0;343;0,5
CLI234;F;Si;74;Si;Servicios;+20años;Alto;2;1950;Baby Boomer;32234;Guadalajara;5831;30;0;299;
